stance,target,text
against,ቀይ ባህር,ውሀ ይሰማል አዎ ለምንድነው እርሶ የማይሰሙት የእናት ለቅሶ የልጅ ለቅሶ ኑሮ ያማረረው የህዝብ ቁጣ አላማ የሌለው ነገር የምንዋጋው በቃ የማይሉት ከልብ ካለቀሱ እንባ አይገድም ይባላል ከልቦ ካሰቡ ሁሉም ወደእርቅ ይመጣል
favor,ቀይ ባህር,የጀግና ሰዉ ሀሳብ ሁል ግዜም መልካም ነው የወደፊት ዕጣ ፈንታችን ዕድገታችን ብልፅግናችን የሚመሠረተው ከጐረቤቶቻችን ጋር በሚኖረን የመተባበር የአንደነትና በአብሮነት መርህ ላይ በተመሰረተ መግባባትና መተሣሰብ ላይ ቁልፍ የሆነ ስምምነት ላይ መድረስ ስንችል ነው ይህን የሚያሳካው መሪ በሰዓቱ ቦታ ላይ ተገኝቷል ከጐኑ ልንሆን ግድ ይላል its time
against,ቀይ ባህር,እባካችሁ ህሊና ያላችሁና የምትቀርቡት ካላችሁ ሰለ ወቅቱ አገሪቱ ሁኔታ መፍትሄ እንፈልግ በሚለው ትኩረት ሰጥተን ውይይት እናድርግ የመጣው ህዝባዊ የሰላም ትግል እበራችን ላይ ከመድረሱና ብዙ የሰው ሕይወትና የአገር ውድቀት ከማድረሱ በፊት በዜጎች ላይ እያደረግን ያለውን ኢ ሰባዊ ድርጊት እናቁም አገር መገንባት የሚችለውን ዜጋ አንጨርስ ብላችሁ መልዕክት አስተላልፉ እያደረገ ያለውን ለመምህራንና ተማሪዎቹ ይተወው እናንተ እኮ የአገር መሪ ተብየዎች ናችሁ።
against,ቀይ ባህር,ፈጣሪያችን አላህ  ሰውን ሲፈጥር በገላው ውሰጥ እሰከ 75% ውሃ ማድረጉ ያሰደንቃል። ኢትዬጰያ ከርሰ ምድሯ ውሰጥ በቂ የውሃ ክምችት ያላት ሰለሆነ በቁጠባ ከተጠቀምን ለእርሻና ኢንዱሰትሪ ልማት በማዋል በቅርብ አመታት ውሰጥ ከድህነት መላቀቅ እንችላለን።
against,ቀይ ባህር,ለሁሉ ግዜ አለው ። በዚህ ሰአት ሀገራችን ያለችበት ሁኔታ ሳናስተካክል ሌላ ጉዳይ መጀመር ከትርፉ ጉዳቱ ይበልጣል ።እኛ ኢትዮጵያውያን እንደ ሀገር አንድ ስንሆን ሁሉም ነገር ቀላል ይሆናል ።ቀዳሚ አጀንዳችን የሀገራችን ሠላም እንዴት እናምጣ የሚለውን ቢሆን እላለሁ።
favor,ቀይ ባህር,መልካም ነገር ነው አንዳንድ ተንኮለኞችና አርቆ አሳቢዎች እንደሚለት ሳይሆን ሀሳቡ የቀጠና ትብብርና አንድነት በጋራ በመስራት በጋራ መጠቀም ነው እንጅ ጠብ ጦርነት ግጭት መፍጠር አይደለም ቀስ በቀስ በጊዜ የሚከሰት ነው
favor,ቀይ ባህር,ድንቅ ሃሳብ ነዉ። ዛሬ ሆኖ ነገን አሻግሮ የምያይ መሪ ወሳኝ ነዉና በርታልን። ሁሉም ነገር በመነጋገርና በተግባቦት እየተፈታ ይሄዳል ብዬ አስባለሁኝ በተጨማርም እንስጥና እንቀበል የተባለዉም ድንቅ ሃሳብ ነዉ።
against,ቀይ ባህር,መጀመሪያ በሀገሪቱ በሙሉ ያሰማራሃውን ገዳይ ጦር ሰብስበህ በውይይት የሀገሪቱን ችግር ፍታ እንፍታ ። አንደ ሀገር አንድ መሆን ከቻልን ከጎርቤት ወንድሞቻችን ጋር በመሆን በጋራ ተጠቃቅመን የተሻለች እና ፍትሀዊ የሆነች አለም መፍጠር እንችላለን ።
favor,ቀይ ባህር,ኢንሻ አላህ እና ሳካዋለን የአረብ ብቻ መሆን የለበትም እኛም ሊኖረን ይገባል አንድ አረብ ኢትዮጵያ እኮ የታፈነች አገር ናት አለኝ እንዴት አልኩት በሃር አልባ አገር የታፈነ ነው አለ የአለም ገባያ ዋናው በበሃር ነው አለኝ
against,ቀይ ባህር,እሰይ በሉ ብልፅግና ምጥ ጀመራት ቶሎ ውለጅልን እኛ እኮ ነገርናችሁ እናተ መሪነት አልተሰጣችሁም መምራት የውስጥ ሞራል ይጠይቃል እናት የአስተሳሰብ አናሳዎች ናችሁ
against,ቀይ ባህር,ኢትዮጵያውያን ወንድሞቼ ልብ እንበል ። ይሄ ሰውዬ ኣሁንም ከመልካም ጎረቤት ኤርትራ ጋር ኣጣልቶ ጦርነት ውስጥ እንድከትህ እያለመ ነው ።
