,Unnamed: 0,stance,target,text
0,0,neutral,"['ሰንድቅ', 'አላማ']","['ዶክተር', 'አብይ', 'አስተምሯቸውን', 'በሁሉም', 'ድርጅቶች', 'በተለይ', 'በመካከለኛ', 'ላሉ', 'ወጣት', 'አመራሮች', 'ስልጠና', 'ቢሰጡ', 'የተሻለ', 'ይሆናል']"
1,1,neutral,"['አብን', 'ፓርቲ']","['የመንግስት', 'ይህን', 'መዘገቡ', 'ሚዲያውን', 'አንድ', 'እርምጃ', 'ወደ', 'ፊት', 'እየሄደ', 'መሆኑን', 'ማሳያ', 'ነው']"
2,2,against,"['ኢዜማ', 'ፓርቲ']","['ለኢትዮጵያ', 'ምንም', 'ያልጠቀመ', 'ግለሰብ']"
3,3,favor,"['ብልፅግና', 'ፓርቲ']","['ዜጎች', 'ሰብአዊና', 'ዴሞክራስያዊ', 'መብቶቻቸው', 'ተከብረው', 'የውስጥ', 'ሰላም', 'የሚያገኙበት', 'በነፃነት', 'ማሰብና', 'መናገር', 'የሚችሉበት', 'መብታቸውን', 'ማክበር', 'ብቻ', 'ሳይሆን', 'ግዴታቸውን', 'በመወጣት', 'ህግን', 'ስተላለፉ', 'ደግሞ', 'ተጠያቂ', 'የሚሆኑበት', 'ሀገር', 'መፍጠር', 'እና', 'ብልፅግናን', 'እውን', 'ማድረግ', 'ከሁላችንም', 'የሚጠበቅ', 'ግዴታ', 'ነው']"
4,4,favor,"['ኢዜማ', 'ፓርቲ']","['ኢትዮፅያዊነት', 'የደመቀበት', 'እንደብረት', 'የጠነከረ', 'አንድነታቸው', 'የታየበት', 'ታላቅ', 'ፕሮግራም', 'ነው']"
5,5,favor,"['አብን', 'ፓርቲ']","['አብን', 'በርቱልን', 'ፈጣሪ', 'ይጠብቃችሁ']"
6,6,neutral,"['አብን', 'ፓርቲ']","['የፓርቲ', 'እና', 'መደበኛ', 'የመንግስት', 'ስራ', 'መደበላለቅ', 'የለበትም', 'ብለን', 'እየሞገትን', 'ነው', 'ይህ', 'መርህ', 'ለሌሎች', 'ተፎካካሪ', 'ፓርቲዎችም', 'ይሰራል', 'መንግስት', 'የጤና', 'ኤክስቴንሽን', 'ሰራተኞችን', 'የቤት', 'ለቤት', 'የስራ', 'ስምሪት', 'ተጠቅሞ', 'የምርጫ', 'ቅስቀሳ', 'ቢያደርግ', 'እቃወማለሁ']"
7,7,neutral,"['ብልፅግና', 'ፓርቲ']","['አሏህ', 'ሀገራችን', 'ሰላም', 'ያድርግልን']"
8,8,neutral,"['ኢዜማ', 'ፓርቲ']","['ሰብሳቢው', 'ነፍስ', 'በላው', 'አብይ', 'አህመድ', 'ነው']"
9,9,favor,"['ቀይ', 'ባህር']","['ቀይ', 'በህር', 'ሰይሆን', 'ቀይ', 'ሽንኩርትነው', 'ሚትሉ', 'ደደቦች', 'አረ', 'ከማድቤት', 'ውጡ', 'ሽንታሞች']"
